epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
111,2350.87,1.644,2.81383,1.59686,1.61469,0,0.35871,0.36842,0.29813,0.15572,0.37003,0.32478,0.31878,0.10454,2.00672,3.93681,2.52282,1.94799,0,0.00141267,0.00141267,0.00141267
112,2372.37,1.49766,2.61368,1.50418,1.52451,0,0.30358,0.34211,0.31592,0.12935,0.58321,0.23684,0.30487,0.08929,2.02066,3.86377,2.61607,1.93068,0,0.00140318,0.00140318,0.00140318
113,2392.22,1.49177,2.6375,1.48426,1.4975,0,0.30358,0.34211,0.31592,0.12935,0.58321,0.23684,0.30487,0.08929,2.02066,3.86377,2.61607,1.93068,0,0.00139364,0.00139364,0.00139364
114,2411.39,1.72231,2.89271,1.80983,1.64693,0,0.33964,0.32501,0.25501,0.09645,0.41455,0.26316,0.25154,0.06809,2.09523,4.07601,2.8591,1.97309,0,0.00138406,0.00138406,0.00138406
115,2431.38,1.51672,2.52417,1.52438,1.4966,0,0.35219,0.34211,0.24026,0.07688,0.35006,0.31579,0.20894,0.04958,2.1588,4.39431,2.93702,2.0053,0,0.00137444,0.00137444,0.00137444
116,2451.43,1.73268,3.11308,1.84343,1.70646,0,0.22351,0.44737,0.23763,0.07591,0.3035,0.31579,0.20236,0.06081,2.23755,4.61919,2.78154,2.0295,0,0.00136478,0.00136478,0.00136478
117,2471.42,1.49721,2.56446,1.46496,1.4583,0,0.22351,0.44737,0.23763,0.07591,0.3035,0.31579,0.20236,0.06081,2.23755,4.61919,2.78154,2.0295,0,0.00135509,0.00135509,0.00135509
118,2491.55,1.41569,2.52979,1.62379,1.49344,0,0.26218,0.36842,0.25429,0.09318,0.24597,0.34211,0.2235,0.07498,2.09343,4.45712,2.61085,1.85842,0,0.00134535,0.00134535,0.00134535
119,2510.54,1.5213,2.50491,1.43919,1.52938,0,0.43493,0.28947,0.28173,0.13476,0.4772,0.31579,0.27809,0.10942,1.9174,4.25031,2.54259,1.74933,0,0.00133558,0.00133558,0.00133558
120,2530.58,1.46718,2.61153,1.56328,1.50428,0,0.36257,0.36842,0.28197,0.13753,0.39622,0.39474,0.28687,0.11291,1.96137,4.14616,2.50068,1.79242,0,0.00132577,0.00132577,0.00132577
