epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
78,1585.22,0.96212,2.03325,0.96771,1.088,0,0.50652,0.39474,0.37852,0.19213,0.54856,0.42105,0.36508,0.15608,1.90313,4.23397,2.01433,1.75585,0,0.0004754,0.0004754,0.0004754
79,1605.28,0.8891,1.7333,0.82678,1.06992,0,0.52296,0.39474,0.41619,0.20763,0.52296,0.39474,0.38221,0.16694,1.90868,4.28063,2.03986,1.72162,0,0.0004556,0.0004556,0.0004556
80,1624.01,0.87207,1.90969,0.90298,1.06037,0,0.47938,0.47368,0.42269,0.21296,0.47938,0.47368,0.4155,0.16123,1.94571,4.38699,2.08478,1.77546,0,0.0004358,0.0004358,0.0004358
81,1642.78,1.20915,2.22026,1.81143,1.53363,0,0.47938,0.47368,0.42269,0.21296,0.47938,0.47368,0.4155,0.16123,1.94571,4.38699,2.08478,1.77546,0,0.000416,0.000416,0.000416
82,1661.58,0.88016,1.67905,0.83188,1.03512,0,0.47166,0.55263,0.39902,0.20417,0.47166,0.55263,0.40162,0.15596,1.97954,4.49799,2.07947,1.82333,0,0.0003962,0.0003962,0.0003962
83,1680.4,0.86739,1.63732,0.9448,1.08021,0,0.56848,0.41617,0.41125,0.20158,0.56848,0.41617,0.40309,0.16893,1.95949,4.6338,1.97548,1.85172,0,0.0003764,0.0003764,0.0003764
84,1699.22,0.84849,1.71965,0.82324,1.05795,0,0.65388,0.39474,0.43582,0.20326,0.65388,0.39474,0.38635,0.16135,1.95148,4.78064,1.94927,1.85203,0,0.0003566,0.0003566,0.0003566
85,1718.04,0.90995,1.61413,0.8798,1.08865,0,0.65388,0.39474,0.43582,0.20326,0.65388,0.39474,0.38635,0.16135,1.95148,4.78064,1.94927,1.85203,0,0.0003368,0.0003368,0.0003368
86,1737.15,0.8563,1.7435,0.85954,1.0501,0,0.6442,0.39474,0.42305,0.19798,0.6442,0.39474,0.38652,0.15575,1.96206,4.6671,1.98972,1.8503,0,0.000317,0.000317,0.000317
87,1756.27,0.79819,1.60428,0.82487,1.02841,0,0.68278,0.33996,0.40662,0.18658,0.68278,0.33996,0.36485,0.15114,1.99382,4.55264,2.05348,1.8707,0,0.0002972,0.0002972,0.0002972
88,1775.58,0.91532,1.79159,0.98962,1.05737,0,0.43421,0.55263,0.41414,0.18627,0.54917,0.35288,0.35419,0.13854,2.00377,4.57348,2.11047,1.86882,0,0.0002774,0.0002774,0.0002774
89,1794.58,0.85939,1.7094,0.85363,1.05057,0,0.43421,0.55263,0.41414,0.18627,0.54917,0.35288,0.35419,0.13854,2.00377,4.57348,2.11047,1.86882,0,0.0002576,0.0002576,0.0002576
90,1815.14,0.93899,1.76208,0.93838,1.12337,0,0.43918,0.5,0.39828,0.1758,0.59561,0.36842,0.35799,0.12666,1.99721,4.44995,2.16258,1.85914,0,0.0002378,0.0002378,0.0002378
91,1833.8,1.16181,1.99488,1.22237,1.39777,0,0.63392,0.41039,0.39321,0.16882,0.58593,0.36842,0.34915,0.1178,1.96625,4.37512,2.1523,1.84794,0,0.000218,0.000218,0.000218
92,1852.48,0.87171,1.82924,1.22206,1.11452,0,0.5526,0.48775,0.40223,0.16797,0.49693,0.44204,0.34702,0.11685,1.99972,4.35365,2.20414,1.90196,0,0.0001982,0.0001982,0.0001982
93,1871.28,1.05757,2.0876,1.68342,1.4185,0,0.5526,0.48775,0.40223,0.16797,0.49693,0.44204,0.34702,0.11685,1.99972,4.35365,2.20414,1.90196,0,0.0001784,0.0001784,0.0001784
94,1892.12,0.93124,1.91228,1.31673,1.10161,0,0.60507,0.48403,0.42246,0.17162,0.54091,0.4343,0.34373,0.12141,2.00154,4.25199,2.25045,1.93098,0,0.0001586,0.0001586,0.0001586
95,1910.86,0.87787,2.00896,1.81063,1.14852,0,0.64226,0.47368,0.42083,0.17181,0.53902,0.39474,0.3198,0.12211,1.99322,4.2112,2.24154,1.93961,0,0.0001388,0.0001388,0.0001388
96,1930.77,0.76568,1.63301,0.93025,0.99759,0,0.5953,0.47368,0.43454,0.16951,0.53336,0.39113,0.32503,0.1296,1.96944,4.21275,2.19862,1.93599,0,0.000119,0.000119,0.000119
97,1950.87,0.82592,1.52749,0.88825,1.05036,0,0.5953,0.47368,0.43454,0.16951,0.53336,0.39113,0.32503,0.1296,1.96944,4.21275,2.19862,1.93599,0,9.92e-05,9.92e-05,9.92e-05
98,1970.28,0.83834,1.75041,1.13525,1.07667,0,0.5788,0.47368,0.44143,0.16868,0.54659,0.36842,0.32996,0.13195,2.00265,4.14362,2.19135,1.97896,0,7.94e-05,7.94e-05,7.94e-05
99,1989.99,0.79476,1.49184,0.8415,1.00225,0,0.57119,0.47368,0.45262,0.16989,0.57671,0.34211,0.3484,0.13971,2.02376,4.11966,2.19177,1.98735,0,5.96e-05,5.96e-05,5.96e-05
100,2009.92,0.85315,1.61276,1.04638,1.04693,0,0.5332,0.47368,0.45608,0.16797,0.62608,0.34211,0.3635,0.14465,1.99874,4.03189,2.19449,1.95719,0,3.98e-05,3.98e-05,3.98e-05
