segment_id,class,area_px,area_pct,confidence,conf_sulfide,cx,cy
1766,fine,1163,0.00092,0.867,0.9242,12242,4610
788,fine,1159,0.00092,0.8312,0.9013,5982,1979
2769,fine,1151,0.00091,0.8906,0.9477,7395,7655
814,fine,1148,0.00091,0.9245,0.9283,10356,2063
189,fine,1147,0.00091,0.9222,0.9146,4115,463
921,fine,1146,0.00091,0.9066,0.954,3726,2356
2298,fine,1146,0.00091,0.9465,0.928,5970,6450
1026,fine,1141,0.0009,0.8919,0.9058,1504,2666
3418,fine,1135,0.0009,0.9368,0.9225,8043,9020
2160,fine,1133,0.0009,0.9242,0.9429,3071,6026
2323,fine,1131,0.00089,0.9075,0.9241,7201,6505
1573,fine,1131,0.00089,0.961,0.9171,10355,4056
2808,fine,1128,0.00089,0.8708,0.9304,12920,7736
2063,fine,1127,0.00089,0.8951,0.9374,2654,5640
437,fine,1127,0.00089,0.9563,0.895,6819,1112
849,fine,1122,0.00089,0.9104,0.8606,5540,2182
1723,fine,1121,0.00089,0.9137,0.8945,341,4479
1955,fine,1115,0.00088,0.9227,0.9367,12523,5263
1613,fine,1115,0.00088,0.8821,0.9539,9695,4170
1281,fine,1113,0.00088,0.8716,0.9425,973,3265
1046,fine,1111,0.00088,0.9239,0.9293,11792,2728
486,fine,1106,0.00087,0.9296,0.8503,7945,1231
527,fine,1106,0.00087,0.9331,0.9048,7844,1326
2847,fine,1104,0.00087,0.9325,0.9241,3605,7796
924,fine,1104,0.00087,0.9316,0.9532,12132,2349
1404,fine,1102,0.00087,0.9127,0.9118,12428,3640
1769,fine,1102,0.00087,0.885,0.9649,8314,4621
1724,fine,1101,0.00087,0.8794,0.9206,1674,4495
2250,fine,1098,0.00087,0.9575,0.9251,7313,6336
1030,fine,1094,0.00086,0.9458,0.9473,7641,2679
1624,fine,1094,0.00086,0.9393,0.9482,11954,4180
360,fine,1090,0.00086,0.8961,0.9238,5857,849
2117,fine,1087,0.00086,0.9086,0.9173,10315,5859
1413,fine,1086,0.00086,0.953,0.9336,10304,3660
3631,fine,1085,0.00086,0.8627,0.8557,6105,9448
1268,fine,1080,0.00085,0.8804,0.9,10500,3242
3129,fine,1080,0.00085,0.9715,0.9413,8492,8383
3201,fine,1078,0.00085,0.9432,0.9407,3514,8526
3540,fine,1077,0.00085,0.8568,0.8737,888,9295
2809,fine,1074,0.00085,0.9657,0.9375,5188,7755
103,fine,1072,0.00085,0.9719,0.9218,13066,228
2159,fine,1071,0.00085,0.9287,0.9442,6774,6005
990,fine,1069,0.00085,0.9732,0.93,7549,2565
2212,fine,1068,0.00084,0.9523,0.9431,7386,6196
3278,fine,1068,0.00084,0.9327,0.943,4036,8715
266,fine,1058,0.00084,0.9479,0.9166,11829,616
2858,fine,1057,0.00084,0.9133,0.9377,42,7814
3558,fine,1057,0.00084,0.8487,0.8758,9968,9331
30,fine,1054,0.00083,0.9443,0.9223,7403,75
3494,fine,1053,0.00083,0.9357,0.9292,4918,9236
1844,fine,1044,0.00083,0.956,0.936,4996,4814
3326,fine,1043,0.00082,0.9428,0.92,4063,8822
870,fine,1041,0.00082,0.9421,0.9267,6927,2233
2742,fine,1041,0.00082,0.8462,0.9231,6038,7590
3167,fine,1040,0.00082,0.9453,0.9167,3553,8457
715,fine,1040,0.00082,0.935,0.9308,3340,1793
2036,fine,1039,0.00082,0.9024,0.9624,1435,5546
1880,fine,1038,0.00082,0.9023,0.939,12293,4947
3580,fine,1037,0.00082,0.9366,0.9086,555,9361
2259,fine,1036,0.00082,0.9402,0.9292,9293,6372
2956,fine,1034,0.00082,0.9209,0.9235,5145,8025
2940,fine,1033,0.00082,0.9074,0.8705,12419,8010
1405,fine,1033,0.00082,0.9552,0.9445,1384,3628
2734,fine,1030,0.00081,0.9714,0.9358,4824,7572
2468,fine,1029,0.00081,0.884,0.9159,12569,6844
2025,fine,1024,0.00081,0.8636,0.9467,12433,5490
654,fine,1022,0.00081,0.8133,0.926,3632,1658
372,fine,1021,0.00081,0.904,0.805,665,913
1561,fine,1014,0.0008,0.9042,0.9223,3885,4018
1830,fine,1012,0.0008,0.8628,0.903,10424,4779
983,fine,1011,0.0008,0.9606,0.9488,11750,2541
2666,fine,1010,0.0008,0.9014,0.8948,6373,7392
1679,fine,1009,0.0008,0.8942,0.9184,10567,4351
3320,fine,1008,0.0008,0.976,0.9604,8066,8794
122,fine,1007,0.0008,0.9368,0.9622,11833,282
888,fine,1006,0.0008,0.9381,0.9278,7030,2282
3341,fine,1001,0.00079,0.9647,0.928,8205,8862
2203,fine,1000,0.00079,0.8995,0.9431,216,6143
1333,fine,997,0.00079,0.8518,0.9395,4902,3429
1668,fine,997,0.00079,0.9347,0.9416,5619,4318
847,fine,995,0.00079,0.9225,0.9356,12697,2166
1698,fine,995,0.00079,0.939,0.9424,5709,4402
2142,fine,995,0.00079,0.9355,0.9506,9890,5957
1308,fine,994,0.00079,0.8983,0.9554,3736,3350
1259,fine,990,0.00078,0.91,0.9275,5819,3201
782,fine,988,0.00078,0.8454,0.8959,6018,1950
3433,fine,988,0.00078,0.8926,0.9197,12739,9058
181,fine,988,0.00078,0.9577,0.9239,12913,428
